"","subject","experiment","time","wheel","wheelabs","wheelpos","absdist","absspeed","posdist","posspeed","bothdist","dirspeed","absspeedf","posspeedf","dirspeedf"
"2","Sample","Hab",200,0,0,0,0,0,0,0,0,0,0,0,0
"4","Sample","Hab",400,0,0,0,0,0,0,0,0,0,0,0,0
"6","Sample","Hab",600,1,1,1,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.331201171875,0.331201171875,0.331201171875
"8","Sample","Hab",800,1,1,1,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.331201171875,0.331201171875,0.331201171875
"10","Sample","Hab",1000,12,12,12,0.7948828125,3.9744140625,0.7948828125,3.9744140625,0.7948828125,3.9744140625,2.318408203125,2.318408203125,2.318408203125
"12","Sample","Hab",1200,7,7,7,0.463681640625,2.318408203125,0.463681640625,2.318408203125,0.463681640625,2.318408203125,2.318408203125,2.318408203125,2.318408203125
"14","Sample","Hab",1400,7,7,7,0.463681640625,2.318408203125,0.463681640625,2.318408203125,0.463681640625,2.318408203125,3.643212890625,3.643212890625,3.643212890625
"16","Sample","Hab",1600,11,11,11,0.728642578125,3.643212890625,0.728642578125,3.643212890625,0.728642578125,3.643212890625,3.643212890625,3.643212890625,3.643212890625
"18","Sample","Hab",1800,12,12,12,0.7948828125,3.9744140625,0.7948828125,3.9744140625,0.7948828125,3.9744140625,3.9744140625,3.9744140625,3.9744140625
"20","Sample","Hab",2000,14,14,14,0.92736328125,4.63681640625,0.92736328125,4.63681640625,0.92736328125,4.63681640625,3.9744140625,3.9744140625,3.9744140625
"22","Sample","Hab",2200,12,12,12,0.7948828125,3.9744140625,0.7948828125,3.9744140625,0.7948828125,3.9744140625,3.9744140625,3.9744140625,3.9744140625
"24","Sample","Hab",2400,3,3,3,0.198720703125,0.993603515625,0.198720703125,0.993603515625,0.198720703125,0.993603515625,3.643212890625,3.643212890625,3.643212890625
"26","Sample","Hab",2600,11,11,11,0.728642578125,3.643212890625,0.728642578125,3.643212890625,0.728642578125,3.643212890625,3.643212890625,3.643212890625,3.643212890625
"28","Sample","Hab",2800,11,11,11,0.728642578125,3.643212890625,0.728642578125,3.643212890625,0.728642578125,3.643212890625,3.643212890625,3.643212890625,3.643212890625
"30","Sample","Hab",3000,13,13,13,0.861123046875,4.305615234375,0.861123046875,4.305615234375,0.861123046875,4.305615234375,3.643212890625,3.643212890625,3.643212890625
"32","Sample","Hab",3200,6,6,6,0.39744140625,1.98720703125,0.39744140625,1.98720703125,0.39744140625,1.98720703125,3.643212890625,3.643212890625,3.643212890625
"34","Sample","Hab",3400,8,8,8,0.529921875,2.649609375,0.529921875,2.649609375,0.529921875,2.649609375,4.305615234375,4.305615234375,4.305615234375
"36","Sample","Hab",3600,15,15,15,0.993603515625,4.968017578125,0.993603515625,4.968017578125,0.993603515625,4.968017578125,4.305615234375,4.305615234375,4.305615234375
"38","Sample","Hab",3800,13,13,13,0.861123046875,4.305615234375,0.861123046875,4.305615234375,0.861123046875,4.305615234375,4.305615234375,4.305615234375,4.305615234375
"40","Sample","Hab",4000,16,16,16,1.05984375,5.29921875,1.05984375,5.29921875,1.05984375,5.29921875,4.968017578125,4.968017578125,4.968017578125
"42","Sample","Hab",4200,13,13,13,0.861123046875,4.305615234375,0.861123046875,4.305615234375,0.861123046875,4.305615234375,4.305615234375,4.305615234375,4.305615234375
"44","Sample","Hab",4400,16,16,16,1.05984375,5.29921875,1.05984375,5.29921875,1.05984375,5.29921875,4.305615234375,4.305615234375,4.305615234375
"46","Sample","Hab",4600,10,10,10,0.66240234375,3.31201171875,0.66240234375,3.31201171875,0.66240234375,3.31201171875,3.31201171875,3.31201171875,3.31201171875
"48","Sample","Hab",4800,4,4,4,0.2649609375,1.3248046875,0.2649609375,1.3248046875,0.2649609375,1.3248046875,1.3248046875,1.3248046875,1.3248046875
"50","Sample","Hab",5000,-1,1,0,0.066240234375,0.331201171875,0,0,-0.066240234375,-0.331201171875,0.331201171875,0.331201171875,0.331201171875
"52","Sample","Hab",5200,1,1,1,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.331201171875,0,0
"54","Sample","Hab",5400,-1,1,0,0.066240234375,0.331201171875,0,0,-0.066240234375,-0.331201171875,0.331201171875,0,0
"56","Sample","Hab",5600,0,0,0,0,0,0,0,0,0,0,0,0
"58","Sample","Hab",5800,0,0,0,0,0,0,0,0,0,0,0,0
"60","Sample","Hab",6000,0,0,0,0,0,0,0,0,0,0,0,0
"62","Sample","Hab",6200,0,0,0,0,0,0,0,0,0,0,0,0
"64","Sample","Hab",6400,1,1,1,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0,0,0
"66","Sample","Hab",6600,0,0,0,0,0,0,0,0,0,0.331201171875,0.331201171875,0.331201171875
"68","Sample","Hab",6800,5,5,5,0.331201171875,1.656005859375,0.331201171875,1.656005859375,0.331201171875,1.656005859375,1.656005859375,1.656005859375,1.656005859375
"70","Sample","Hab",7000,14,14,14,0.92736328125,4.63681640625,0.92736328125,4.63681640625,0.92736328125,4.63681640625,1.656005859375,1.656005859375,1.656005859375
"72","Sample","Hab",7200,10,10,10,0.66240234375,3.31201171875,0.66240234375,3.31201171875,0.66240234375,3.31201171875,1.656005859375,1.656005859375,1.656005859375
"74","Sample","Hab",7400,5,5,5,0.331201171875,1.656005859375,0.331201171875,1.656005859375,0.331201171875,1.656005859375,1.656005859375,1.656005859375,1.656005859375
"76","Sample","Hab",7600,0,0,0,0,0,0,0,0,0,0,0,0
"78","Sample","Hab",7800,0,0,0,0,0,0,0,0,0,0,0,0
"80","Sample","Hab",8000,0,0,0,0,0,0,0,0,0,0,0,0
"82","Sample","Hab",8200,0,0,0,0,0,0,0,0,0,0,0,0
"84","Sample","Hab",8400,0,0,0,0,0,0,0,0,0,0,0,0
"86","Sample","Hab",8600,0,0,0,0,0,0,0,0,0,0,0,0
"88","Sample","Hab",8800,0,0,0,0,0,0,0,0,0,0,0,0
"90","Sample","Hab",9000,0,0,0,0,0,0,0,0,0,0,0,0
"92","Sample","Hab",9200,1,1,1,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0,0,0
"94","Sample","Hab",9400,0,0,0,0,0,0,0,0,0,0,0,0
"96","Sample","Hab",9600,0,0,0,0,0,0,0,0,0,0,0,0
"98","Sample","Hab",9800,0,0,0,0,0,0,0,0,0,0,0,0
"100","Sample","Hab",10000,1,1,1,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0,0,0
"102","Sample","Hab",10200,0,0,0,0,0,0,0,0,0,0,0,0
"104","Sample","Hab",10400,0,0,0,0,0,0,0,0,0,0,0,0
"106","Sample","Hab",10600,0,0,0,0,0,0,0,0,0,0,0,0
"108","Sample","Hab",10800,0,0,0,0,0,0,0,0,0,0,0,0
"110","Sample","Hab",11000,0,0,0,0,0,0,0,0,0,0,0,0
"112","Sample","Hab",11200,0,0,0,0,0,0,0,0,0,0,0,0
"114","Sample","Hab",11400,0,0,0,0,0,0,0,0,0,0,0,0
"116","Sample","Hab",11600,0,0,0,0,0,0,0,0,0,0,0,0
"118","Sample","Hab",11800,-1,1,0,0.066240234375,0.331201171875,0,0,-0.066240234375,-0.331201171875,0.331201171875,0,0
"120","Sample","Hab",12000,7,7,7,0.463681640625,2.318408203125,0.463681640625,2.318408203125,0.463681640625,2.318408203125,0.66240234375,0,0
"122","Sample","Hab",12200,10,10,10,0.66240234375,3.31201171875,0.66240234375,3.31201171875,0.66240234375,3.31201171875,0.66240234375,0.331201171875,0.331201171875
"124","Sample","Hab",12400,-2,2,0,0.13248046875,0.66240234375,0,0,-0.13248046875,-0.66240234375,0.66240234375,0.331201171875,0.331201171875
"126","Sample","Hab",12600,1,1,1,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.331201171875,0.331201171875,0.331201171875
"128","Sample","Hab",12800,1,1,1,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.331201171875,0,0
"130","Sample","Hab",13000,0,0,0,0,0,0,0,0,0,0,0,0
"132","Sample","Hab",13200,0,0,0,0,0,0,0,0,0,0,0,0
"134","Sample","Hab",13400,0,0,0,0,0,0,0,0,0,0,0,0
"136","Sample","Hab",13600,0,0,0,0,0,0,0,0,0,0,0,0
"138","Sample","Hab",13800,0,0,0,0,0,0,0,0,0,0,0,0
"140","Sample","Hab",14000,0,0,0,0,0,0,0,0,0,0,0,0
"142","Sample","Hab",14200,0,0,0,0,0,0,0,0,0,0,0,0
"144","Sample","Hab",14400,0,0,0,0,0,0,0,0,0,0,0,0
"146","Sample","Hab",14600,0,0,0,0,0,0,0,0,0,0,0,0
"148","Sample","Hab",14800,0,0,0,0,0,0,0,0,0,0,0,0
"150","Sample","Hab",15000,0,0,0,0,0,0,0,0,0,0,0,0
"152","Sample","Hab",15200,0,0,0,0,0,0,0,0,0,0,0,0
"154","Sample","Hab",15400,0,0,0,0,0,0,0,0,0,0,0,0
"156","Sample","Hab",15600,0,0,0,0,0,0,0,0,0,0,0,0
"158","Sample","Hab",15800,0,0,0,0,0,0,0,0,0,0,0,0
"160","Sample","Hab",16000,0,0,0,0,0,0,0,0,0,0,0,0
"162","Sample","Hab",16200,0,0,0,0,0,0,0,0,0,0,0,0
"164","Sample","Hab",16400,-1,1,0,0.066240234375,0.331201171875,0,0,-0.066240234375,-0.331201171875,0.331201171875,0,0
"166","Sample","Hab",16600,6,6,6,0.39744140625,1.98720703125,0.39744140625,1.98720703125,0.39744140625,1.98720703125,1.98720703125,1.98720703125,1.98720703125
"168","Sample","Hab",16800,7,7,7,0.463681640625,2.318408203125,0.463681640625,2.318408203125,0.463681640625,2.318408203125,1.98720703125,1.98720703125,1.98720703125
"170","Sample","Hab",17000,8,8,8,0.529921875,2.649609375,0.529921875,2.649609375,0.529921875,2.649609375,1.98720703125,1.98720703125,1.98720703125
"172","Sample","Hab",17200,6,6,6,0.39744140625,1.98720703125,0.39744140625,1.98720703125,0.39744140625,1.98720703125,1.98720703125,1.98720703125,1.98720703125
